"","City","State.short","State.full","County","City.alias","address","lon","lat"
"773","Scotia","SC","South Carolina","HAMPTON","Scotia","Scotia, South Carolina",-81.2434363,32.6810063
"774","Jersey","GA","Georgia","WALTON","Jersey","Jersey, Georgia",-83.7987901,33.7156693
"775","Cumming","GA","Georgia","FORSYTH","Cumming","Cumming, Georgia",-84.1401926,34.2073196
"776","Newborn","GA","Georgia","NEWTON","Newborn","Newborn, Georgia",-83.6960096,33.5170648
"777","Marietta","GA","Georgia","COBB","Mar","Mar, Georgia",NA,NA
"778","Tucker","GA","Georgia","DEKALB","Tucker","Tucker, Georgia",-84.2171424,33.8545479
"779","Norcross","GA","Georgia","GWINNETT","Parkway","Parkway, Georgia",NA,NA
"780","White","GA","Georgia","BARTOW","White","White, Georgia",-84.7452138,34.2828722
"781","Experiment","GA","Georgia","SPALDING","Experiment","Experiment, Georgia",-84.2752831,33.278776
"782","Gay","GA","Georgia","MERIWETHER","Gay","Gay, Georgia",-84.5738151,33.0937361
"783","Griffin","GA","Georgia","SPALDING","Griffin","Griffin, Georgia",-84.2640904,33.2467807
"784","Morrow","GA","Georgia","CLAYTON","Morrow","Morrow, Georgia",-84.3393683,33.5831662
"785","Palmetto","GA","Georgia","FULTON","Palmetto","Palmetto, Georgia",-84.6696548,33.5178907
"786","Rex","GA","Georgia","CLAYTON","Rex","Rex, Georgia",-84.2687012,33.5912973
"787","Swainsboro","GA","Georgia","EMANUEL","Kemp","Kemp, Georgia",-82.9000751,32.1656221
"788","Brooklet","GA","Georgia","BULLOCH","Akin","Akin, Georgia",-81.7042778,31.4560548
"789","Cobbtown","GA","Georgia","TATTNALL","Aline","Aline, Georgia",-82.160399,32.3610108
"790","Daisy","GA","Georgia","EVANS","Daisy","Daisy, Georgia",-81.8362695,32.1522932
"791","Louisville","GA","Georgia","JEFFERSON","Grange","Grange, Georgia",-85.0322444,33.0362218
"792","Louisville","GA","Georgia","JEFFERSON","Rosier","Rosier, Georgia",-82.242623,32.9782077
"793","Metter","GA","Georgia","CANDLER","Excelsior","Excelsior, Georgia",-81.9658001,32.3136599
"794","Millen","GA","Georgia","JENKINS","Thrift","Thrift, Georgia",-82.0559507,32.6990519
"795","Millen","GA","Georgia","JENKINS","Butts","Butts, Georgia",-83.9532571,33.2691443
"796","Portal","GA","Georgia","BULLOCH","Portal","Portal, Georgia",-81.9323384,32.538222
"797","Register","GA","Georgia","BULLOCH","Register","Register, Georgia",-81.8840039,32.3671237
"798","Canon","GA","Georgia","FRANKLIN","Canon","Canon, Georgia",-83.1098717,34.3462158
"799","Jefferson","GA","Georgia","JACKSON","Arcade","Arcade, Georgia",-83.5615536,34.0778881
"800","Mc Caysville","GA","Georgia","FANNIN","Fry","Fry, Georgia",-84.3929792,34.9870244
"801","Tiger","GA","Georgia","RABUN","Tiger","Tiger, Georgia",-83.4329398,34.8470372
"802","Bogart","GA","Georgia","OCONEE","Bogart","Bogart, Georgia",-83.534608,33.949281
"803","Comer","GA","Georgia","MADISON","Comer","Comer, Georgia",-83.1254261,34.0637227
"804","Monroe","GA","Georgia","WALTON","Between","Between, Georgia",-83.8074003,33.8176113
"805","Winder","GA","Georgia","BARROW","Winder","Winder, Georgia",-83.7201709,33.9926097
"806","Ranger","GA","Georgia","GORDON","Ranger","Ranger, Georgia",-84.7096571,34.5011995
"807","Lincolnton","GA","Georgia","LINCOLN","Loco","Loco, Georgia",NA,NA
"808","Lincolnton","GA","Georgia","LINCOLN","Maxim","Maxim, Georgia",-82.3406809,33.7931827
"809","Matthews","GA","Georgia","JEFFERSON","Noah","Noah, Georgia",-82.2859566,33.2154228
"810","Matthews","GA","Georgia","JEFFERSON","Wrens","Wrens, Georgia",-82.391792,33.2076456
"811","Mitchell","GA","Georgia","GLASCOCK","Shoals","Shoals, Georgia",-82.9000751,32.1656221
"812","Thomson","GA","Georgia","MCDUFFIE","Thomson","Thomson, Georgia",-82.5045733,33.4706927
"813","Wrens","GA","Georgia","JEFFERSON","Wrens","Wrens, Georgia",-82.391792,33.2076456
"814","Haddock","GA","Georgia","JONES","Haddock","Haddock, Georgia",-83.4290537,33.0326378
"815","Ideal","GA","Georgia","MACON","Ideal","Ideal, Georgia",-84.1879675,32.3695983
"816","Kite","GA","Georgia","JOHNSON","Kite","Kite, Georgia",-82.5145752,32.6923836
"817","Riceboro","GA","Georgia","LIBERTY","Retreat","Retreat, Georgia",-81.413995,31.7029945
"818","Townsend","GA","Georgia","MCINTOSH","Cox","Cox, Georgia",-81.5634405,31.4552222
"819","Savannah","GA","Georgia","CHATHAM","Thunderbolt","Thunderbolt, Georgia",-81.0498342,32.0335445
"820","Brunswick","GA","Georgia","GLYNN","Sears","Sears, Georgia",NA,NA
"821","Folkston","GA","Georgia","CHARLTON","Homeland","Homeland, Georgia",-82.0209492,30.8560651
"822","Hazlehurst","GA","Georgia","JEFF DAVIS","Roper","Roper, Georgia",-82.6515275,31.8121304
"823","Manor","GA","Georgia","WARE","Manor","Manor, Georgia",-82.5731939,31.1038242
"824","Nicholls","GA","Georgia","COFFEE","Beach","Beach, Georgia",-82.5037473,31.4399287
"825","Valdosta","GA","Georgia","LOWNDES","Dasher","Dasher, Georgia",-83.220704,30.7474278
"826","Cotton","GA","Georgia","MITCHELL","Cotton","Cotton, Georgia",-84.0668445,31.1615734
"827","Enigma","GA","Georgia","BERRIEN","Enigma","Enigma, Georgia",-83.3290468,31.4129695
"828","Thomasville","GA","Georgia","THOMAS","Gateway","Gateway, Georgia",-82.9000751,32.1656221
"829","Box Springs","GA","Georgia","TALBOT","Juniper","Juniper, Georgia",-84.6043688,32.5312519
"830","Columbus","GA","Georgia","MUSCOGEE","Cols","Cols, Georgia",-84.9877094,32.4609764
"831","Fort Benning","GA","Georgia","MUSCOGEE","Cols","Cols, Georgia",-84.9877094,32.4609764
"832","Columbus","GA","Georgia","MUSCOGEE","Col","Col, Georgia",-84.9877094,32.4609764
"833","Day","FL","Florida","LAFAYETTE","Day","Day, Florida",-83.2913392,30.1941908
"834","Lulu","FL","Florida","COLUMBIA","Lulu","Lulu, Florida",-82.4912303,30.1074582
"835","Mayo","FL","Florida","LAFAYETTE","Mayo","Mayo, Florida",-83.1748578,30.053001
"836","Satsuma","FL","Florida","PUTNAM","Satsuma","Satsuma, Florida",-81.6559137,29.5549701
"837","Panacea","FL","Florida","WAKULLA","Panacea","Panacea, Florida",-84.3995775,30.0295179
"838","Cantonment","FL","Florida","ESCAMBIA","Cantonment","Cantonment, Florida",-87.3446492,30.6053644
"839","Century","FL","Florida","ESCAMBIA","Century","Century, Florida",-87.2638628,30.9732384
"840","Milton","FL","Florida","SANTA ROSA","Pace","Pace, Florida",-87.1610807,30.5993603
"841","Bell","FL","Florida","GILCHRIST","Bell","Bell, Florida",-82.8626239,29.7555125
"842","Christmas","FL","Florida","ORANGE","Christmas","Christmas, Florida",-81.0175609,28.5363893
"843","Goldenrod","FL","Florida","SEMINOLE","Goldenrod","Goldenrod, Florida",-81.2886784,28.6102772
"844","Paisley","FL","Florida","LAKE","Paisley","Paisley, Florida",-81.5417375,28.9835966
"845","Tangerine","FL","Florida","ORANGE","Tangerine","Tangerine, Florida",-81.6306298,28.7649933
"846","Cocoa","FL","Florida","BREVARD","Cocoa","Cocoa, Florida",-80.7419984,28.3861159
"847","Vero Beach","FL","Florida","INDIAN RIVER","Orchid","Orchid, Florida",-80.4169956,27.7728055
"848","Homestead","FL","Florida","MIAMI-DADE","Homestead","Homestead, Florida",-80.4775569,25.4687224
"849","Pompano Beach","FL","Florida","BROWARD","Parkland","Parkland, Florida",-80.2532249,26.3107774
"850","Miami","FL","Florida","MIAMI-DADE","Coral","Coral, Florida",-81.9495331,26.5628537
"851","Miami","FL","Florida","MIAMI-DADE","Gables","Gables, Florida",-80.2635411,25.7491968
"852","Miami","FL","Florida","MIAMI-DADE","Medley","Medley, Florida",-80.3264404,25.8406526
"853","Miami","FL","Florida","MIAMI-DADE","Crossings","Crossings, Florida",-80.4073392,25.6630546
"854","Fort Lauderdale","FL","Florida","BROWARD","Plantation","Plantation, Florida",-80.2331036,26.1275862
"855","Plantation","FL","Florida","BROWARD","Plantation","Plantation, Florida",-80.2331036,26.1275862
"856","Boynton Beach","FL","Florida","PALM BEACH","Golf","Golf, Florida",-80.1065646,26.5025039
"857","LOX","FL","Florida","PALM BEACH","Lox","Lox, Florida",-80.238888,26.771624
"858","Balm","FL","Florida","HILLSBOROUGH","Balm","Balm, Florida",-82.2612017,27.7594736
"859","Mango","FL","Florida","HILLSBOROUGH","Mango","Mango, Florida",-82.3064808,27.9797439
"860","Trilby","FL","Florida","PASCO","Trilby","Trilby, Florida",-82.1948076,28.4624986
"861","Largo","FL","Florida","PINELLAS","Largo","Largo, Florida",-82.7873244,27.9094665
"862","Seminole","FL","Florida","PINELLAS","Largo","Largo, Florida",-82.7873244,27.9094665
"863","Homeland","FL","Florida","POLK","Homeland","Homeland, Florida",-81.8260886,27.8179529
"864","Bradenton","FL","Florida","MANATEE","Brad","Brad, Florida",-82.5748194,27.4989278
"865","Palmetto","FL","Florida","MANATEE","Palmetto","Palmetto, Florida",-82.5723193,27.5214269
"866","Osprey","FL","Florida","SARASOTA","Osprey","Osprey, Florida",-82.4903748,27.1961627
"867","Holder","FL","Florida","CITRUS","Holder","Holder, Florida",-82.4224574,28.9677829
"868","Holiday","FL","Florida","PASCO","Holiday","Holiday, Florida",-82.7395454,28.18779
"869","Kissimmee","FL","Florida","OSCEOLA","Reunion","Reunion, Florida",-81.6081299,28.2802893
"870","Kissimmee","FL","Florida","OSCEOLA","Celebration","Celebration, Florida",-81.5407793,28.3188815
"871","Kissimmee","FL","Florida","OSCEOLA","Poinciana","Poinciana, Florida",-81.4709358,28.1573736
"872","Kissimmee","FL","Florida","POLK","Poinciana","Poinciana, Florida",-81.4709358,28.1573736
"873","Moody","AL","Alabama","SAINT CLAIR","Moody","Moody, Alabama",-86.4908168,33.5909365
"874","Alabaster","AL","Alabama","SHELBY","Alabaster","Alabaster, Alabama",-86.8163773,33.2442813
"875","Arab","AL","Alabama","MARSHALL","Arab","Arab, Alabama",-86.4958219,34.3181497
"876","Cleveland","AL","Alabama","BLOUNT","Nectar","Nectar, Alabama",-86.6394367,33.9598211
"877","Dolomite","AL","Alabama","JEFFERSON","Dolomite","Dolomite, Alabama",-86.9548989,33.4711475
"878","Montevallo","AL","Alabama","SHELBY","Marvel","Marvel, Alabama",-87.0030481,33.1467847
"879","Siluria","AL","Alabama","SHELBY","Alabaster","Alabaster, Alabama",-86.8163773,33.2442813
"880","Warrior","AL","Alabama","JEFFERSON","Warrior","Warrior, Alabama",-86.8094394,33.8142682
"881","Birmingham","AL","Alabama","JEFFERSON","Hoover","Hoover, Alabama",-86.8113781,33.4053867
"882","Birmingham","AL","Alabama","JEFFERSON","Midfield","Midfield, Alabama",-86.9086811,33.4614078
"883","Coaling","AL","Alabama","TUSCALOOSA","Coaling","Coaling, Alabama",-87.340834,33.1590078
"884","Cottondale","AL","Alabama","TUSCALOOSA","Coaling","Coaling, Alabama",-87.340834,33.1590078
"885","Fosters","AL","Alabama","TUSCALOOSA","Fosters","Fosters, Alabama",-87.6858428,33.0948441
"886","Ralph","AL","Alabama","TUSCALOOSA","Ralph","Ralph, Alabama",-87.7689003,33.0420679
"887","Reform","AL","Alabama","PICKENS","Reform","Reform, Alabama",-88.0153008,33.378451
"888","Berry","AL","Alabama","FAYETTE","Berry","Berry, Alabama",-87.6000098,33.6598332
"889","Brilliant","AL","Alabama","MARION","Brilliant","Brilliant, Alabama",-87.7583574,34.0253797
"890","Fayette","AL","Alabama","FAYETTE","Bluff","Bluff, Alabama",-87.9064128,33.8206623
"891","Eva","AL","Alabama","MORGAN","Eva","Eva, Alabama",-86.758888,34.3323178
"892","Rogersville","AL","Alabama","LAUDERDALE","Whitehead","Whitehead, Alabama",-87.3272421,34.888141
"893","Tanner","AL","Alabama","LIMESTONE","Tanner","Tanner, Alabama",-86.9705632,34.7314786
"894","Harvest","AL","Alabama","MADISON","Harvest","Harvest, Alabama",-86.7508323,34.8556441
"895","Normal","AL","Alabama","MADISON","Normal","Normal, Alabama",-86.5722237,34.7838409
"896","Section","AL","Alabama","JACKSON","Section","Section, Alabama",-85.986644,34.5789747
"897","Gallant","AL","Alabama","ETOWAH","Gallant","Gallant, Alabama",-86.245256,33.9987084
"898","Booth","AL","Alabama","AUTAUGA","Booth","Booth, Alabama",-86.5719223,32.5004124
"899","Eclectic","AL","Alabama","ELMORE","Eclectic","Eclectic, Alabama",-86.0344079,32.6354093
"900","Equality","AL","Alabama","COOSA","Equality","Equality, Alabama",-86.1016899,32.7619984
"901","Dozier","AL","Alabama","CRENSHAW","Dozier","Dozier, Alabama",-86.3649582,31.4921084
"902","Midway","AL","Alabama","BULLOCK","Comer","Comer, Alabama",-85.3832732,32.0329338
"903","Shorter","AL","Alabama","MACON","Shorter","Shorter, Alabama",-85.9183541,32.3951313
"904","Verbena","AL","Alabama","CHILTON","Verbena","Verbena, Alabama",-86.5123493,32.7498851
"905","Wadley","AL","Alabama","RANDOLPH","Almond","Almond, Alabama",-85.6216228,33.146508
"906","Wadley","AL","Alabama","RANDOLPH","Motley","Motley, Alabama",-85.6588459,33.1170641
"907","Weaver","AL","Alabama","CALHOUN","Weaver","Weaver, Alabama",-85.8113543,33.7520456
"908","Woodland","AL","Alabama","RANDOLPH","Hawk","Hawk, Alabama",-85.3685615,33.4345574
"909","Dothan","AL","Alabama","HOUSTON","Grimes","Grimes, Alabama",-85.44799,31.3046175
"910","Black","AL","Alabama","GENEVA","Black","Black, Alabama",-85.7443772,31.0093468
"911","Chancellor","AL","Alabama","GENEVA","Chancellor","Chancellor, Alabama",-85.8771592,31.1815634
"912","Headland","AL","Alabama","HENRY","Headland","Headland, Alabama",-85.3421559,31.351284
"913","Jack","AL","Alabama","COFFEE","Jack","Jack, Alabama",-86.0003369,31.5741373
"914","Newville","AL","Alabama","HENRY","Bertha","Bertha, Alabama",-85.4279922,31.5412791
"915","Skipperville","AL","Alabama","DALE","Bertha","Bertha, Alabama",-85.4279922,31.5412791
"916","Coy","AL","Alabama","WILCOX","Coy","Coy, Alabama",-87.4628458,31.8946948
"917","Excel","AL","Alabama","MONROE","Excel","Excel, Alabama",-87.3413731,31.4279433
"918","Flomaton","AL","Alabama","ESCAMBIA","Pollard","Pollard, Alabama",-87.1735825,31.0271252
"919","Opp","AL","Alabama","COVINGTON","Opp","Opp, Alabama",-86.2555067,31.2826685
"920","Range","AL","Alabama","CONECUH","Range","Range, Alabama",-87.2355341,31.3126694
"921","Wing","AL","Alabama","COVINGTON","Wing","Wing, Alabama",-86.6113409,31.0257521
"922","Atmore","AL","Alabama","ESCAMBIA","Canoe","Canoe, Alabama",-87.4119237,31.026292
"923","Axis","AL","Alabama","MOBILE","Axis","Axis, Alabama",-88.0272647,30.9297926
"924","Bucks","AL","Alabama","MOBILE","Bucks","Bucks, Alabama",-88.0248275,31.0097328
"925","Chunchula","AL","Alabama","MOBILE","Fellowship","Fellowship, Alabama",NA,NA
"926","Daphne","AL","Alabama","BALDWIN","Daphne","Daphne, Alabama",-87.9036047,30.6035255
"927","Deer Park","AL","Alabama","WASHINGTON","Seaboard","Seaboard, Alabama",-88.188619,31.3212806
"928","Satsuma","AL","Alabama","MOBILE","Satsuma","Satsuma, Alabama",-88.0561106,30.853241
"929","Sunflower","AL","Alabama","WASHINGTON","Sunflower","Sunflower, Alabama",-88.0083009,31.3822533
"930","Wagarville","AL","Alabama","WASHINGTON","Hawthorn","Hawthorn, Alabama",-88.0883374,31.3332246
"931","Mobile","AL","Alabama","MOBILE","Mobile","Mobile, Alabama",-88.0398912,30.6953657
"932","Mobile","AL","Alabama","MOBILE","Magazine","Magazine, Alabama",-88.0567847,30.7316512
"933","Mobile","AL","Alabama","MOBILE","Chickasaw","Chickasaw, Alabama",-88.0747222,30.7637991
"934","Mobile","AL","Alabama","MOBILE","Whistler","Whistler, Alabama",-88.1120531,30.7471854
"935","Eight Mile","AL","Alabama","MOBILE","Mobile","Mobile, Alabama",-88.0398912,30.6953657
"936","Lower Peach Tree","AL","Alabama","WILCOX","Chance","Chance, Alabama",-87.5319378,31.7487649
"937","Minter","AL","Alabama","DALLAS","Minter","Minter, Alabama",-87.0330676,32.0881965
"938","Smiths Station","AL","Alabama","LEE","Smiths","Smiths, Alabama",-85.0985473,32.5401393
"939","Carthage","TN","Tennessee","SMITH","Defeated","Defeated, Tennessee",-85.9083182,36.326444
"940","Centerville","TN","Tennessee","HICKMAN","Grinders","Grinders, Tennessee",-86.5804473,35.5174913
"941","Hermitage","TN","Tennessee","DAVIDSON","Hermitage","Hermitage, Tennessee",-86.6197777,36.1988486
"942","Only","TN","Tennessee","HICKMAN","Only","Only, Tennessee",-87.691688,35.8617315
"943","Guild","TN","Tennessee","MARION","Guild","Guild, Tennessee",-85.5245937,35.0275414
"944","Trade","TN","Tennessee","JOHNSON","Trade","Trade, Tennessee",-81.7456671,36.3492912
"945","Coalfield","TN","Tennessee","MORGAN","Coalfield","Coalfield, Tennessee",-84.4153876,36.0335053
"946","Duff","TN","Tennessee","CAMPBELL","Duff","Duff, Tennessee",-84.0674243,36.4467459
"947","Rugby","TN","Tennessee","MORGAN","Rugby","Rugby, Tennessee",-84.700776,36.3603531
"948","Greenback","TN","Tennessee","LOUDON","Greenback","Greenback, Tennessee",-84.1721357,35.6611904
"949","Harriman","TN","Tennessee","ROANE","Midtown","Midtown, Tennessee",-84.5641023,35.8795188
"950","Kodak","TN","Tennessee","SEVIER","Kodak","Kodak, Tennessee",-83.6270896,35.9745743
"951","Lancing","TN","Tennessee","MORGAN","Lancing","Lancing, Tennessee",-84.6538308,36.1206306
"952","Lowland","TN","Tennessee","HAMBLEN","Lowland","Lowland, Tennessee",-83.2418077,36.1609968
"953","Mascot","TN","Tennessee","KNOX","Mascot","Mascot, Tennessee",-83.745735,36.0611959
"954","Mohawk","TN","Tennessee","GREENE","Mohawk","Mohawk, Tennessee",-83.0520766,36.2010725
"955","Rockwood","TN","Tennessee","ROANE","Ozone","Ozone, Tennessee",-84.8091122,35.8820155
"956","Speedwell","TN","Tennessee","CLAIBORNE","Speedwell","Speedwell, Tennessee",-83.8718624,36.4586902
"957","Atoka","TN","Tennessee","TIPTON","Crosstown","Crosstown, Tennessee",-89.7930878,35.4454391
"958","Bells","TN","Tennessee","CROCKETT","Bells","Bells, Tennessee",-89.087565,35.7111846
"959","Gates","TN","Tennessee","LAUDERDALE","Gates","Gates, Tennessee",-89.4061836,35.8384082
"960","Halls","TN","Tennessee","LAUDERDALE","Halls","Halls, Tennessee",-89.3961835,35.8756298
"961","Dukedom","TN","Tennessee","WEAKLEY","Dukedom","Dukedom, Tennessee",-88.715054,36.5022819
"962","Rives","TN","Tennessee","OBION","Rives","Rives, Tennessee",-89.048121,36.3556205
"963","Eva","TN","Tennessee","BENTON","Eva","Eva, Tennessee",-88.0040716,36.0643415
"964","Finger","TN","Tennessee","MCNAIRY","Finger","Finger, Tennessee",-88.5989385,35.3584121
"965","Guys","TN","Tennessee","MCNAIRY","Guys","Guys, Tennessee",-88.5586591,35.0348084
"966","Huntingdon","TN","Tennessee","CARROLL","Leach","Leach, Tennessee",-88.4872747,35.9328416
"967","Parsons","TN","Tennessee","DECATUR","Parsons","Parsons, Tennessee",-88.1267024,35.6497909
"968","Yuma","TN","Tennessee","CARROLL","Yuma","Yuma, Tennessee",-88.3367128,35.8475645
"969","Hampshire","TN","Tennessee","MAURY","Hampshire","Hampshire, Tennessee",-87.2930671,35.5967398
"970","Campaign","TN","Tennessee","WARREN","Campaign","Campaign, Tennessee",-85.6285903,35.7709013
"971","Moss","TN","Tennessee","CLAY","Moss","Moss, Tennessee",-85.6174689,36.5894294
"972","Walling","TN","Tennessee","WHITE","Walling","Walling, Tennessee",-85.5990655,35.8083037
"973","Ashland","MS","Mississippi","BENTON","Cannon","Cannon, Mississippi",-89.3985283,32.3546679
"974","Blue Mountain","MS","Mississippi","TIPPAH","Bluff","Bluff, Mississippi",-88.9558959,34.613432
"975","Coahoma","MS","Mississippi","COAHOMA","Birdie","Birdie, Mississippi",-90.3820414,34.3920517
"976","Crenshaw","MS","Mississippi","PANOLA","Askew","Askew, Mississippi",-90.1934266,34.5370495
"977","Darling","MS","Mississippi","QUITMAN","Darling","Darling, Mississippi",-90.2742605,34.3589978
"978","Dumas","MS","Mississippi","TIPPAH","Dumas","Dumas, Mississippi",-88.8439482,34.6403752
"979","Dumas","MS","Mississippi","TIPPAH","Locum","Locum, Mississippi",-88.8436703,34.5931541
"980","Lyon","MS","Mississippi","COAHOMA","Lyon","Lyon, Mississippi",-90.5420429,34.2178865
"981","Marks","MS","Mississippi","QUITMAN","Marks","Marks, Mississippi",-90.2720375,34.2565
"982","Pope","MS","Mississippi","PANOLA","Pope","Pope, Mississippi",-89.9478679,34.2151108
"983","Ripley","MS","Mississippi","TIPPAH","Peoples","Peoples, Mississippi",-89.3985283,32.3546679
"984","Robinsonville","MS","Mississippi","TUNICA","Clack","Clack, Mississippi",-90.2931526,34.8459312
"985","Sarah","MS","Mississippi","PANOLA","Savage","Savage, Mississippi",-90.2231501,34.6298252
"986","Sledge","MS","Mississippi","TUNICA","Sledge","Sledge, Mississippi",-90.2209265,34.4320519
"987","Tiplersville","MS","Mississippi","TIPPAH","Burrow","Burrow, Mississippi",-89.3985283,32.3546679
"988","Tiplersville","MS","Mississippi","TIPPAH","Anvil","Anvil, Mississippi",-89.3985283,32.3546679
"989","Walls","MS","Mississippi","DESOTO","Walls","Walls, Mississippi",-90.1517605,34.9578727
"990","Walls","MS","Mississippi","DESOTO","Glover","Glover, Mississippi",-90.1800944,34.9325959
"991","Greenville","MS","Mississippi","WASHINGTON","Refuge","Refuge, Mississippi",-91.1364979,33.3037289
"992","Greenville","MS","Mississippi","WASHINGTON","Crossroads","Crossroads, Mississippi",-89.7747945,30.7826876
"993","Alligator","MS","Mississippi","BOLIVAR","Alligator","Alligator, Mississippi",-90.7195452,34.0895533
"994","Drew","MS","Mississippi","SUNFLOWER","Drew","Drew, Mississippi",-90.5264813,33.809558
"995","Drew","MS","Mississippi","SUNFLOWER","Goldfield","Goldfield, Mississippi",-89.3985283,32.3546679
"996","Grace","MS","Mississippi","ISSAQUENA","Grace","Grace, Mississippi",-90.9564919,32.9995694
"997","Leland","MS","Mississippi","WASHINGTON","Long","Long, Mississippi",-90.7945407,33.4431725
"998","Leland","MS","Mississippi","WASHINGTON","Helm","Helm, Mississippi",-90.8345422,33.5009489
"999","Leland","MS","Mississippi","WASHINGTON","Heads","Heads, Mississippi",-90.8464873,33.4706716
"1000","Leland","MS","Mississippi","WASHINGTON","Magenta","Magenta, Mississippi",-90.9634366,33.4312273
"1001","Leland","MS","Mississippi","WASHINGTON","Bourbon","Bourbon, Mississippi",-90.7987084,33.3242859
"1002","Pace","MS","Mississippi","BOLIVAR","Pace","Pace, Mississippi",-90.8570461,33.7915006
"1003","Shaw","MS","Mississippi","BOLIVAR","Shaw","Shaw, Mississippi",-90.7737075,33.6017815
"1004","Sunflower","MS","Mississippi","SUNFLOWER","Sunflower","Sunflower, Mississippi",-90.5370327,33.5428954
"1005","Booneville","MS","Mississippi","PRENTISS","Altitude","Altitude, Mississippi",-88.4431041,34.6684275
"1006","Booneville","MS","Mississippi","PRENTISS","Thrashers","Thrashers, Mississippi",-88.5339397,34.7195376
"1007","Ecru","MS","Mississippi","PONTOTOC","Ecru","Ecru, Mississippi",-89.0231192,34.3531594
"1008","Houston","MS","Mississippi","CHICKASAW","Thorn","Thorn, Mississippi",-89.1025648,33.9426113
"1009","Shannon","MS","Mississippi","LEE","Brewer","Brewer, Mississippi",-88.6836621,34.1478864
"1010","Thaxton","MS","Mississippi","PONTOTOC","Hurricane","Hurricane, Mississippi",-89.3985283,32.3546679
"1011","Banner","MS","Mississippi","CALHOUN","Banner","Banner, Mississippi",-89.3847989,34.0887211
"1012","Bruce","MS","Mississippi","CALHOUN","Shepherd","Shepherd, Mississippi",-89.3995209,33.9692786
"1013","Coffeeville","MS","Mississippi","YALOBUSHA","Gums","Gums, Mississippi",-89.6289723,33.9276136
"1014","Glendora","MS","Mississippi","TALLAHATCHIE","Whitehead","Whitehead, Mississippi",-90.2986996,33.8487257
"1015","Money","MS","Mississippi","LEFLORE","Money","Money, Mississippi",-90.2092519,33.6512289
"1016","Sidon","MS","Mississippi","CARROLL","Roebuck","Roebuck, Mississippi",-90.2345281,33.4448435
"1017","Tutwiler","MS","Mississippi","TALLAHATCHIE","Brazil","Brazil, Mississippi",-90.2806463,34.0265021
"1018","Canton","MS","Mississippi","MADISON","Way","Way, Mississippi",-90.0331403,32.7440238
"1019","Goodman","MS","Mississippi","HOLMES","Goodman","Goodman, Mississippi",-89.9123058,32.9701306
"1020","Hermanville","MS","Mississippi","CLAIBORNE","Carpenter","Carpenter, Mississippi",-90.6803776,32.0340444
"1021","Madden","MS","Mississippi","LEAKE","Madden","Madden, Mississippi",-89.3481218,32.6790253
"1022","Magee","MS","Mississippi","SIMPSON","Sanatorium","Sanatorium, Mississippi",-89.7775753,31.8987704
"1023","Midnight","MS","Mississippi","HUMPHREYS","Midnight","Midnight, Mississippi",-90.5734261,33.0495712
"1024","Pinola","MS","Mississippi","SIMPSON","Shivers","Shivers, Mississippi",-89.9875811,31.7965509
"1025","Raymond","MS","Mississippi","HINDS","Learned","Learned, Mississippi",-90.5473202,32.196817
"1026","Redwood","MS","Mississippi","WARREN","Redwood","Redwood, Mississippi",-90.8037138,32.4776415
"1027","Rolling Fork","MS","Mississippi","SHARKEY","Onward","Onward, Mississippi",-90.9420479,32.7254102
"1028","Star","MS","Mississippi","RANKIN","Star","Star, Mississippi",-90.0449482,32.0940943
"1029","Terry","MS","Mississippi","HINDS","Terry","Terry, Mississippi",-90.2942566,32.0962632
"1030","West","MS","Mississippi","HOLMES","West","West, Mississippi",-89.7773051,33.1970719
"1031","Pearl","MS","Mississippi","RANKIN","Pearl","Pearl, Mississippi",-90.1342608,32.2662515
"1032","Jackson","MS","Mississippi","HINDS","Visa","Visa, Mississippi",-89.3985283,32.3546679
"1033","Chunky","MS","Mississippi","NEWTON","Chunky","Chunky, Mississippi",-88.9281082,32.3256996
"1034","Philadelphia","MS","Mississippi","NESHOBA","Choctaw","Choctaw, Mississippi",-89.1311937,32.8294273
"1035","Hattiesburg","MS","Mississippi","FORREST","Lux","Lux, Mississippi",-89.4008975,31.4451702
"1036","Collins","MS","Mississippi","COVINGTON","Smith","Smith, Mississippi",-89.4742177,32.0826588
"1037","Collins","MS","Mississippi","COVINGTON","Ora","Ora, Mississippi",-89.5746544,31.6578945
"1038","Collins","MS","Mississippi","COVINGTON","Kola","Kola, Mississippi",-89.5272899,31.6251655
"1039","Laurel","MS","Mississippi","JONES","Glade","Glade, Mississippi",-89.1072788,31.6551634
"1040","Laurel","MS","Mississippi","JONES","Powers","Powers, Mississippi",-89.0686664,31.6979397
"1041","Laurel","MS","Mississippi","JONES","Errata","Errata, Mississippi",-89.0600546,31.7587709
"1042","Leakesville","MS","Mississippi","GREENE","Jonathan","Jonathan, Mississippi",-88.6375256,31.2226814
"1043","Lucedale","MS","Mississippi","GEORGE","Basin","Basin, Mississippi",-88.6629682,30.8036765
"1044","Lucedale","MS","Mississippi","GEORGE","Vernal","Vernal, Mississippi",-88.6108583,31.0385182
"1045","Mc Lain","MS","Mississippi","GREENE","Leaf","Leaf, Mississippi",-88.7955915,31.025742
"1046","Moselle","MS","Mississippi","JONES","Moselle","Moselle, Mississippi",-89.2789495,31.5023903
"1047","Moss","MS","Mississippi","JASPER","Moss","Moss, Mississippi",-89.1778358,31.8151581
